"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4"
144,0,402,2,64,0,1,1,0,470,1886,1520,63,"You confessed the tray to John"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
145,0,402,2,65,0,0,0,1,399,1456,1022,19,"He taught you a lesson"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
146,0,402,2,66,0,0,1,1,0,0,1129,42,"Amber dealt you the tree"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
147,0,402,2,67,1,0,0,1,369,1748,1559,8,"Courtney handed you the notebook"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
148,0,402,2,68,1,0,1,0,315,2511,1623,59,"Tom slept the marble to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
149,0,402,2,69,1,0,0,1,299,1743,1534,2,"Helen awarded a medal to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
150,0,402,2,70,1,0,1,1,0,0,1477,60,"Sally ate you the teacup"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
151,0,402,2,71,0,1,1,1,0,0,1329,62,"You blew a lesson to Liz"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
152,0,402,2,72,0,1,0,1,365,2175,2065,34,"You radioed the message to the policeman"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
153,0,402,2,73,0,0,0,1,349,1997,1472,20,"Andy pitched you the idea"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
154,0,402,2,74,1,0,1,0,1037,1527,1158,54,"Mark treated you the car"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
155,0,402,2,75,1,0,1,1,0,0,1619,58,"Theresa smoked you the idea"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
156,0,402,2,76,0,0,1,1,0,0,1599,49,"Jeff swallowed the cash to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
157,0,402,2,77,1,1,1,1,0,0,1861,71,"You lavished the responsibility Dan"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
158,0,402,2,78,1,1,0,1,469,2112,1186,26,"You threw Diane the pen"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
159,0,402,2,79,0,0,0,1,446,1858,1696,13,"John dedicated the song to you"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
160,0,402,2,80,0,0,0,0,0,0,1733,16,"Steve lavished you with praise"," 12/27/2016"," it was about how much atention i had to pay to get the answers right  "," n"," y"," n"
161,1,403,4,1,0,1,0,1,269,1824,1635,35,"You gave Jesse another chance"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
162,0,403,4,2,1,0,0,1,245,1676,1460,3,"Mark dealt the cards to you"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
163,0,403,4,3,1,1,1,0,289,2399,1410,72,"You pitched the story Andy"," 12/27/2016"," to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.} "," n"," n"," n"
