"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff",Grupo,,
282,0,404,1,42,0,1,0,1,82,1855,1427,30,"You poured your dad some water","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",428,Grupo A,,
284,0,404,1,44,1,0,0,1,167,2824,1472,20,"Andy pitched you the idea","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",1352,Grupo A,,
285,0,404,1,45,0,1,0,1,62,2554,1620,28,"You shot Shawn the rubber band","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",934,Grupo A,,
286,0,404,1,46,1,1,0,1,113,2375,2065,34,"You radioed the message to the policeman","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",310,Grupo A,,
287,0,404,1,47,1,0,0,1,150,1872,1369,14,"Jenni sang you a song","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",503,Grupo A,,
290,0,404,1,50,1,1,0,1,35,2236,1371,32,"You sold the land to Mike","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",865,Grupo A,,
292,0,404,1,52,1,1,0,1,113,1641,1310,39,"You told Liz the story","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",331,Grupo A,,
294,0,404,1,54,0,1,0,1,77,2135,1567,25,"You handed the puppy to Katie","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",568,Grupo A,,
295,0,404,1,55,1,1,0,1,431,2222,1856,33,"You transmitted the orders to Sara","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",366,Grupo A,,
297,0,404,1,57,1,0,0,1,131,2317,1508,17,"Chris offered you some writing tips","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",809,Grupo A,,
303,0,404,1,63,1,0,0,1,31,2136,1696,13,"John dedicated the song to you","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",440,Grupo A,,
307,0,404,1,67,0,0,0,1,64,2596,1926,7,"Sally slid you the cafeteria tray","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",670,Grupo A,,
316,0,404,1,76,1,1,0,1,143,1981,1600,36,"You confessed your secret to Dan","12/28/2016","i think the task was meant to evaluate my response to english tasks by being a spanish speaker myself{.}","n","y","n",381,Grupo A,,
323,0,405,3,3,0,1,0,1,195,1780,1485,22,"You awarded a medal to Helen","01/13/2017","language","n","n","n",295,Grupo B,,
327,0,405,3,7,0,0,0,1,132,1926,1460,3,"Mark dealt the cards to you","01/13/2017","language","n","n","n",466,Grupo B,,
331,0,405,3,11,1,1,0,1,230,2714,1635,35,"You gave Jesse another chance","01/13/2017","language","n","n","n",1079,Grupo B,,
334,0,405,3,14,0,1,0,1,62,1895,1321,24,"You drove the car to Amber","01/13/2017","language","n","n","n",574,Grupo B,,
336,0,405,3,16,1,1,0,1,224,1888,1639,33,"You dedicated the song to John","01/13/2017","language","n","n","n",249,Grupo B,,
339,0,405,3,19,1,1,0,1,278,1987,1647,32,"You devoted your time to Tiana","01/13/2017","language","n","n","n",340,Grupo B,,
344,0,405,3,24,0,0,0,1,199,1884,1684,2,"Vincent donated money to you","01/13/2017","language","n","n","n",200,Grupo B,,
347,0,405,3,27,0,0,0,1,185,1909,1473,10,"Your dad poured you some water","01/13/2017","language","n","n","n",436,Grupo B,,
348,0,405,3,28,0,1,0,1,224,2337,1511,28,"You handed Courtney the notebook","01/13/2017","language","n","n","n",826,Grupo B,,
