"count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad",Grupo Lift Off,Grupo Lift Off Diff,Grupo MoveTime
356,0,405,3,36,1,1,0,1,261,2264,1307,38,"You blew your sister a kiss",957,1,Grupo B,Grupo B,Grupo A
359,0,405,3,39,0,0,0,1,206,2186,1623,8,"Shawn shot you the rubber band",563,1,Grupo B,Grupo B,Grupo A
361,0,405,3,41,1,0,0,1,634,2617,1874,13,"Sara transmitted the orders to you",743,0,Grupo B,Grupo B,Grupo A
362,0,405,3,42,0,1,0,1,228,2414,1746,25,"You dispensed the rations to Kelly",668,0,Grupo B,Grupo B,Grupo A
365,0,405,3,45,0,1,0,1,139,3765,1681,21,"You delivered the Pizza to Andy",2084,0,Grupo B,Grupo B,Grupo A
369,0,405,3,49,1,1,0,1,337,3415,1579,37,"You offered Chris some writing tips",1836,1,Grupo B,Grupo B,Grupo A
370,0,405,3,50,0,0,0,1,237,3419,1523,7,"Joe kicked you the soccer ball",1896,1,Grupo B,Grupo B,Grupo A
376,0,405,3,56,1,0,0,1,247,2998,2138,15,"Anna transferred responsibility to you",860,0,Grupo B,Grupo B,Grupo A
381,0,405,3,61,1,0,0,1,757,2279,1647,16,"Dan confessed his secret to you",632,0,Grupo B,Grupo B,Grupo A
383,0,405,3,63,0,0,0,1,394,2450,1347,9,"Mike rolled you the marble",1103,1,Grupo B,Grupo B,Grupo A
386,0,405,3,66,0,1,0,1,240,2306,1744,30,"You conveyed the message to Adam",562,0,Grupo B,Grupo B,Grupo A
388,0,405,3,68,1,1,0,1,294,3105,1126,39,"You taught him a lesson",1979,1,Grupo B,Grupo B,Grupo A
393,0,405,3,73,0,0,0,1,141,2010,1646,1,"Alex forked over the cash to you",364,1,Grupo B,Grupo B,Grupo A
394,0,405,3,74,0,0,0,1,337,2420,1693,4,"Jeff entrusted the key to you",727,1,Grupo B,Grupo B,Grupo A
396,0,405,3,76,0,0,0,1,270,1903,1233,6,"Diane threw you the pen",670,1,Grupo B,Grupo B,Grupo A
398,0,405,3,78,1,0,0,1,296,1588,1277,19,"Liz told you the story",311,0,Grupo B,Grupo B,Grupo A
401,1,406,4,1,0,1,0,1,877,2749,1390,34,"You sang Jenni a song",1359,0,Grupo B,Grupo B,Grupo B
402,0,406,4,2,0,1,0,1,442,2156,1635,35,"You gave Jesse another chance",521,0,Grupo B,Grupo B,Grupo B
403,0,406,4,3,0,0,0,1,517,1989,1724,17,"You received the complaint from Ian",265,1,Grupo B,Grupo B,Grupo B
406,0,406,4,6,1,0,0,1,551,1872,1579,5,"Katie handed the puppy to you",293,0,Grupo B,Grupo B,Grupo B
407,0,406,4,7,1,1,0,1,723,3829,1746,25,"You dispensed the rations to Kelly",2083,1,Grupo B,Grupo B,Grupo B
410,0,406,4,10,1,0,0,1,484,2783,1646,1,"Alex forked over the cash to you",1137,0,Grupo B,Grupo B,Grupo B
411,0,406,4,11,0,0,0,1,577,2543,2184,14,"The policeman radioed the message to you",359,1,Grupo B,Grupo B,Grupo B
416,0,406,4,16,1,1,0,1,257,2590,1439,26,"You bought Christine ice cream",1151,1,Grupo B,Grupo B,Grupo B
417,0,406,4,17,1,1,0,1,282,2841,2109,27,"You slid Sally the cafeteria tray",732,1,Grupo B,Grupo B,Grupo B
420,0,406,4,20,0,1,0,1,334,2386,1639,33,"You dedicated the song to John",747,0,Grupo B,Grupo B,Grupo B
422,0,406,4,22,0,0,0,1,246,2002,1277,19,"Liz told you the story",725,1,Grupo B,Grupo B,Grupo B
423,0,406,4,23,0,0,0,1,524,1511,1304,18,"Amanda paid you tribute",207,1,Grupo B,Grupo B,Grupo B
425,0,406,4,25,1,1,0,1,517,1851,1485,22,"You awarded a medal to Helen",366,1,Grupo B,Grupo B,Grupo B
427,0,406,4,27,0,0,0,1,520,2728,1874,13,"Sara transmitted the orders to you",854,1,Grupo B,Grupo B,Grupo B
428,0,406,4,28,0,1,0,1,840,2524,1647,32,"You devoted your time to Tiana",877,0,Grupo B,Grupo B,Grupo B
