"ID","CueDirection","SentenceDirection","MoveTime","Grupo","SentDur"
421,1,0,358,Grupo B,1501
421,0,0,358,Grupo B,1523
421,0,1,1322,Grupo B,1483
421,1,1,266,Grupo B,1507
421,0,0,265,Grupo B,1347
421,0,1,282,Grupo B,1744
421,1,0,339,Grupo B,1371
421,0,0,288,Grupo B,1579
421,0,1,315,Grupo B,1439
421,0,0,359,Grupo B,1684
421,1,1,375,Grupo B,1639
421,0,1,214,Grupo B,1321
421,1,0,283,Grupo B,1002
421,1,0,408,Grupo B,1724
421,1,1,348,Grupo B,1647
421,0,0,648,Grupo B,1693
421,0,1,508,Grupo B,1485
421,1,1,448,Grupo B,1307
421,1,1,366,Grupo B,1126
421,1,0,397,Grupo B,1304
421,1,0,388,Grupo B,2184
421,1,0,361,Grupo B,2138
421,1,0,374,Grupo B,1874
421,1,0,441,Grupo B,1277
421,0,0,413,Grupo B,1473
421,0,1,374,Grupo B,1681
421,1,0,407,Grupo B,1647
421,0,1,340,Grupo B,1511
421,0,0,453,Grupo B,1646
421,1,1,286,Grupo B,1635
421,0,0,638,Grupo B,1460
422,0,0,230,Grupo A,1733
422,0,0,314,Grupo A,1508
422,0,1,305,Grupo A,1270
422,0,1,240,Grupo A,1310
422,0,1,245,Grupo A,1724
422,1,1,217,Grupo A,1186
422,1,1,231,Grupo A,1364
422,1,1,177,Grupo A,1422
422,0,1,233,Grupo A,2065
422,0,0,251,Grupo A,1369
422,1,1,226,Grupo A,1634
422,1,0,247,Grupo A,1322
422,0,1,246,Grupo A,2034
422,1,0,227,Grupo A,1503
422,0,0,157,Grupo A,1746
422,1,0,250,Grupo A,1559
422,1,0,214,Grupo A,1704
422,1,0,198,Grupo A,1396
422,0,1,224,Grupo A,1407
422,0,0,254,Grupo A,1698
422,1,1,228,Grupo A,1620
422,1,1,287,Grupo A,1427
422,1,1,290,Grupo A,1637
422,0,1,245,Grupo A,1856
422,0,0,175,Grupo A,1022
422,0,0,184,Grupo A,1472
422,1,1,181,Grupo A,1567
422,1,0,195,Grupo A,1875
422,1,0,191,Grupo A,1534
422,0,1,186,Grupo A,1371
422,1,0,207,Grupo A,1433
422,0,0,169,Grupo A,1696
423,1,0,287,Grupo A,1473
423,1,0,316,Grupo A,1693
423,0,0,325,Grupo A,1501
423,0,1,293,Grupo A,1507
423,0,0,347,Grupo A,1277
423,1,1,304,Grupo A,1511
423,0,1,378,Grupo A,1639
423,0,1,524,Grupo A,1390
423,1,1,423,Grupo A,1681
423,0,0,298,Grupo A,1304
423,0,0,329,Grupo A,1874
423,1,1,296,Grupo A,2109
423,1,0,353,Grupo A,1684
423,0,1,328,Grupo A,1579
423,0,0,289,Grupo A,1002
423,1,0,302,Grupo A,1579
423,1,0,334,Grupo A,1523
423,0,0,335,Grupo A,2138
423,0,0,313,Grupo A,1371
423,1,1,281,Grupo A,1321
423,1,1,311,Grupo A,1483
423,0,1,352,Grupo A,1635
423,1,1,333,Grupo A,1485
423,0,0,334,Grupo A,1724
423,0,1,278,Grupo A,1837
423,1,0,317,Grupo A,1233
423,0,0,267,Grupo A,1647
423,1,1,288,Grupo A,1439
423,0,1,395,Grupo A,1647
423,1,0,267,Grupo A,1347
423,1,0,294,Grupo A,1623
423,0,1,321,Grupo A,1126
424,1,1,402,Grupo B,2034
424,1,1,442,Grupo B,1182
424,1,0,539,Grupo B,1369
424,1,1,476,Grupo B,2065
424,1,1,436,Grupo B,1600
424,0,0,446,Grupo B,1534
424,1,0,256,Grupo B,1390
424,1,1,338,Grupo B,1371
424,0,0,392,Grupo B,1926
424,0,0,538,Grupo B,1875
424,0,1,312,Grupo B,1620
424,0,0,367,Grupo B,1433
424,0,0,451,Grupo B,1503
424,1,1,358,Grupo B,1856
424,0,0,411,Grupo B,1559
424,1,0,451,Grupo B,1746
424,0,1,349,Grupo B,1567
424,0,1,371,Grupo B,1637
424,0,0,493,Grupo B,1704
424,1,0,364,Grupo B,1698
424,0,1,329,Grupo B,1186
424,0,0,359,Grupo B,1396
424,1,0,484,Grupo B,1696
424,1,0,344,Grupo B,1022
425,1,0,359,Grupo A,1473
425,1,1,322,Grupo A,1681
425,1,0,249,Grupo A,1684
425,0,1,510,Grupo A,1639
425,1,0,265,Grupo A,1347
425,0,0,316,Grupo A,1501
425,1,0,251,Grupo A,1233
425,1,0,256,Grupo A,1460
425,0,0,445,Grupo A,1277
425,1,0,254,Grupo A,1579
425,1,0,313,Grupo A,1623
425,0,0,296,Grupo A,1724
425,0,1,252,Grupo A,1647
425,0,0,287,Grupo A,1874
425,1,1,229,Grupo A,1744
425,1,0,280,Grupo A,1523
425,0,0,321,Grupo A,1647
425,1,1,221,Grupo A,1439
425,0,1,308,Grupo A,1635
425,0,1,275,Grupo A,1579
425,0,1,283,Grupo A,1507
425,0,1,288,Grupo A,1390
426,0,1,621,Grupo B,1724
426,1,0,823,Grupo B,1433
426,1,1,292,Grupo B,1645
426,1,1,439,Grupo B,1422
426,0,1,638,Grupo B,1371
426,0,1,560,Grupo B,1270
426,0,1,456,Grupo B,2065
426,1,0,445,Grupo B,1503
426,0,0,437,Grupo B,1022
426,0,0,525,Grupo B,1369
426,0,1,461,Grupo B,1856
426,1,0,430,Grupo B,1704
426,0,0,433,Grupo B,1472
426,1,0,436,Grupo B,1875
426,1,1,251,Grupo B,1427
426,1,1,323,Grupo B,1637
426,1,0,318,Grupo B,1926
426,1,0,358,Grupo B,1559
426,0,0,468,Grupo B,1746
426,1,1,166,Grupo B,1634
426,1,1,299,Grupo B,1567
426,0,1,540,Grupo B,1407
426,0,0,191,Grupo B,1698
426,1,0,439,Grupo B,1396
426,1,0,360,Grupo B,1534
426,0,1,430,Grupo B,2034
426,0,1,497,Grupo B,1600
426,0,1,511,Grupo B,1310
427,0,0,381,Grupo A,1704
427,1,1,271,Grupo A,2034
427,1,1,267,Grupo A,1310
427,0,0,329,Grupo A,1559
427,1,1,646,Grupo A,1724
427,0,0,302,Grupo A,1503
427,0,0,1140,Grupo A,1534
427,1,0,274,Grupo A,1508
427,0,0,301,Grupo A,1875
427,1,1,297,Grupo A,1856
427,0,1,257,Grupo A,1422
427,0,0,253,Grupo A,1396
