"ptid","CueDirection","SentenceDirection","LiftOffLatency","Grupo","SentDur"
422,1,1,4373,Grupo A,1427
422,1,1,1945,Grupo A,1637
422,0,1,2973,Grupo A,1856
422,0,0,1274,Grupo A,1022
422,0,0,2094,Grupo A,1472
422,1,1,1873,Grupo A,1567
422,1,0,2691,Grupo A,1875
422,1,0,1825,Grupo A,1534
422,0,1,1622,Grupo A,1371
422,1,0,2019,Grupo A,1433
422,0,0,1939,Grupo A,1696
423,1,0,3654,Grupo B,1473
423,1,0,3556,Grupo B,1693
423,0,0,3907,Grupo B,1501
423,0,1,3732,Grupo B,1507
423,0,0,2671,Grupo B,1277
423,1,1,3813,Grupo B,1511
423,0,1,2780,Grupo B,1639
423,0,1,2345,Grupo B,1390
423,1,1,2194,Grupo B,1681
423,0,0,2834,Grupo B,1304
423,0,0,3958,Grupo B,1874
423,1,1,3805,Grupo B,2109
423,1,0,2333,Grupo B,1684
423,0,1,2075,Grupo B,1579
423,0,0,2196,Grupo B,1002
423,1,0,3036,Grupo B,1579
423,1,0,2081,Grupo B,1523
423,0,0,3001,Grupo B,2138
423,0,0,2789,Grupo B,1371
423,1,1,2876,Grupo B,1321
423,1,1,3898,Grupo B,1483
423,0,1,2479,Grupo B,1635
423,1,1,2086,Grupo B,1485
423,0,0,2462,Grupo B,1724
423,0,1,3931,Grupo B,1837
423,1,0,1833,Grupo B,1233
423,0,0,2600,Grupo B,1647
423,1,1,2447,Grupo B,1439
423,0,1,2322,Grupo B,1647
423,1,0,3252,Grupo B,1347
423,1,0,4053,Grupo B,1623
423,0,1,2162,Grupo B,1126
424,1,1,2493,Grupo B,2034
424,1,1,1934,Grupo B,1182
424,1,0,2070,Grupo B,1369
424,1,1,3335,Grupo B,2065
424,1,1,3122,Grupo B,1600
424,0,0,2204,Grupo B,1534
424,1,0,2362,Grupo B,1390
424,1,1,1912,Grupo B,1371
424,0,0,2238,Grupo B,1926
424,0,0,2354,Grupo B,1875
424,0,1,2087,Grupo B,1620
424,0,0,2117,Grupo B,1433
424,0,0,1993,Grupo B,1503
424,1,1,2151,Grupo B,1856
424,0,0,2163,Grupo B,1559
424,1,0,2151,Grupo B,1746
424,0,1,2642,Grupo B,1567
424,0,1,2603,Grupo B,1637
424,0,0,2521,Grupo B,1704
424,1,0,2855,Grupo B,1698
424,0,1,2373,Grupo B,1186
424,0,0,1825,Grupo B,1396
424,1,0,2123,Grupo B,1696
424,1,0,1856,Grupo B,1022
425,1,0,2703,Grupo B,1473
425,1,1,3480,Grupo B,1681
425,1,0,2578,Grupo B,1684
425,0,1,2463,Grupo B,1639
425,1,0,2272,Grupo B,1347
425,0,0,2298,Grupo B,1501
425,1,0,2052,Grupo B,1233
425,1,0,1979,Grupo B,1460
425,0,0,1992,Grupo B,1277
425,1,0,2868,Grupo B,1579
425,1,0,3337,Grupo B,1623
425,0,0,3184,Grupo B,1724
425,0,1,2622,Grupo B,1647
425,0,0,2523,Grupo B,1874
425,1,1,2157,Grupo B,1744
425,1,0,2853,Grupo B,1523
425,0,0,2109,Grupo B,1647
425,1,1,2929,Grupo B,1439
