Frecuencia,Orientacion,Categoria,Tecla,FrecuenciaEspacial,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Test.thisRepN,Test.thisTrialN,Test.thisN,Test.thisIndex,Instrucciones1.started,Instrucciones1.stopped,Instrucciones2.started,Instrucciones2.stopped,Instrucciones3.started,Instrucciones3.stopped,instrucciones4.started,instrucciones4.stopped,Instrucciones5.started,Instrucciones5.stopped,KeyRespPrueba.keys,KeyRespPrueba.corr,KeyRespPrueba.rt,KeyRespPrueba.started,KeyRespPrueba.stopped,GratingPrueba.started,GratingPrueba.stopped,FeedbackPrueb.started,FeedbackPrueb.stopped,ComienzoTexto.started,ComienzoTexto.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,grating2.started,grating2.stopped,keyrespTest.keys,keyrespTest.corr,keyrespTest.rt,keyrespTest.started,keyrespTest.stopped,feedback_2.started,feedback_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
5.50008069636175,89.497664791372,B,right,0.027500403481808752,,,,,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,,123.28643320000265,None,right,1,0.36951450002379715,123.38670119992457,None,123.786596299964,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.54136239272688,90.8226808064496,B,right,0.0277068119636344,,,,,0,32,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,124.87037719995715,None,right,1,0.5780110999476165,124.9703395999968,None,125.57071449991781,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.09650484452888,97.6340481537614,A,left,0.0304825242226444,,,,,0,33,33,33,,,,,,,,,,,,,,,,,,,,,,,,,,126.65431839996018,None,left,1,0.5700094000203535,126.75435579998884,None,127.35438539995812,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.46463178105443,87.789071063052,B,right,0.02732315890527215,,,,,0,34,34,34,,,,,,,,,,,,,,,,,,,,,,,,,,128.43809579999652,None,right,1,0.5541710000252351,128.5381514999317,None,129.12132019991986,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.54992552093441,91.32934093886121,B,right,0.02774962760467205,,,,,0,35,35,35,,,,,,,,,,,,,,,,,,,,,,,,,,130.20513020001817,None,left,0,0.7072163000702858,130.305128899985,None,131.04217279993463,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.63382118332149,93.3968902444691,B,right,0.02816910591660745,,,,,0,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,,132.13891189999413,None,right,1,0.5181333000073209,132.2391212999355,None,132.78990149998572,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.67668749077169,95.4952676463007,B,right,0.028383437453858452,,,,,0,37,37,37,,,,,,,,,,,,,,,,,,,,,,,,,,133.872639899957,None,right,1,1.3764183999737725,133.97245010000188,None,135.37297689996194,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.53527283364346,91.18415100109331,B,right,0.0276763641682173,,,,,0,38,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,136.4568579000188,None,left,0,0.5119883000152186,136.55685359996278,None,137.09284970001318,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.0375186338982,95.3330595366648,A,left,0.030187593169491,,,,,0,39,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,138.19127519999165,None,right,0,1.7536720000207424,138.29114849993493,None,140.07520349998958,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.42693775147127,87.3912875619519,B,right,0.02713468875735635,,,,,0,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,141.15900410001632,None,left,0,0.5935093000298366,141.25875409995206,None,141.87608259997796,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.99529483110119,94.458594155703,A,left,0.02997647415550595,,,,,0,41,41,41,,,,,,,,,,,,,,,,,,,,,,,,,,142.95950689993333,None,left,1,1.3770135000813752,143.05943339993246,None,144.46018759999424,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.11180590475577,98.1454351840495,A,left,0.03055902952377885,,,,,0,42,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,145.54353049991187,None,left,1,0.6572505000513047,145.64359709993005,None,146.3269681999227,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
6.06718533218437,96.8869623645363,A,left,0.03033592666092185,,,,,0,43,43,43,,,,,,,,,,,,,,,,,,,,,,,,,,147.41086999990512,None,left,1,0.6137046000221744,147.51091269997414,None,148.14432829990983,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.5595535379854,90.7623026546359,B,right,0.027797767689927002,,,,,0,44,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,149.2281432999298,None,right,1,0.7806804999709129,149.32803309999872,None,150.1283655000152,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
5.64412280358568,94.8487426298887,B,right,0.0282206140179284,,,,,0,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,151.21202249999624,None,left,0,1.1079619999509305,151.3121990999207,None,152.44702439999674,None,AntonellaM,001,2023-07-18_17h19.24.141,PruebaGabor2,2022.1.3,59.90097169871688,
