"count","ptCnt","Grupo","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","Date","PostQ1","PostQ2","PostQ3","PostQ4","liftOffDiff","X.2","X","X.1","Compatibilidad","X.3","X.4","X.5"
183,0,"Grupo A",403,4,23,1,0,0,1,1133,2031,1623,8,"Shawn shot you the rubber band","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","408",NA,NA,"","",0,NA,NA,NA
184,0,"Grupo A",403,4,24,1,1,0,1,395,2002,1321,24,"You drove the car to Amber","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","681",NA,NA,"","",1,NA,NA,NA
187,0,"Grupo A",403,4,27,0,1,0,1,293,2857,1507,40,"You pitched Andy the idea","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1350",NA,NA,"","",0,NA,NA,NA
189,0,"Grupo A",403,4,29,0,1,0,1,383,1992,1639,33,"You dedicated the song to John","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","353",NA,NA,"","",0,NA,NA,NA
193,0,"Grupo A",403,4,33,1,0,0,1,524,1990,1233,6,"Diane threw you the pen","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","757",NA,NA,"","",0,NA,NA,NA
194,0,"Grupo A",403,4,34,0,0,0,1,336,2158,1874,13,"Sara transmitted the orders to you","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","284",NA,NA,"","",1,NA,NA,NA
200,0,"Grupo A",403,4,40,1,1,0,1,476,2042,1483,23,"You kicked the football to Jack","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","559",NA,NA,"","",1,NA,NA,NA
202,0,"Grupo A",403,4,42,0,0,0,1,637,2314,1304,18,"Amanda paid you tribute","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","1010",NA,NA,"","",1,NA,NA,NA
204,0,"Grupo A",403,4,44,1,1,0,1,486,1925,1681,21,"You delivered the Pizza to Andy","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","244",NA,NA,"","",1,NA,NA,NA
206,0,"Grupo A",403,4,46,0,0,0,1,386,1860,1371,20,"Your family sent you regards","12/27/2016","to understand what the guy is telling{,} but sometimes it doesnt sounds pretty well{.}","n","n","489",NA,NA,"","",1,NA,NA,NA
