"","count","ptCnt","ptid","List","TrialNum","CueDirection","SentenceDirection","StimulusType","Accuracy","MoveTime","LiftOffLatency","SentDur","ItemNumber","SentenceStimulus","liftOffDiff","Compatibilidad","Grupo.Lift.Off","Grupo.Lift.Off.Diff","Grupo.MoveTime"
"121",290,0,404,1,50,1,1,0,1,35,2236,1371,32,"You sold the land to Mike",865,1,"Grupo A","Grupo A","Grupo A"
"122",292,0,404,1,52,1,1,0,1,113,1641,1310,39,"You told Liz the story",331,1,"Grupo A","Grupo A","Grupo A"
"123",294,0,404,1,54,0,1,0,1,77,2135,1567,25,"You handed the puppy to Katie",568,0,"Grupo A","Grupo A","Grupo A"
"124",295,0,404,1,55,1,1,0,1,431,2222,1856,33,"You transmitted the orders to Sara",366,1,"Grupo A","Grupo A","Grupo A"
"125",297,0,404,1,57,1,0,0,1,131,2317,1508,17,"Chris offered you some writing tips",809,0,"Grupo A","Grupo A","Grupo A"
"126",303,0,404,1,63,1,0,0,1,31,2136,1696,13,"John dedicated the song to you",440,0,"Grupo A","Grupo A","Grupo A"
"127",307,0,404,1,67,0,0,0,1,64,2596,1926,7,"Sally slid you the cafeteria tray",670,1,"Grupo A","Grupo A","Grupo A"
"128",316,0,404,1,76,1,1,0,1,143,1981,1600,36,"You confessed your secret to Dan",381,1,"Grupo A","Grupo A","Grupo A"
"129",323,0,405,3,3,0,1,0,1,195,1780,1485,22,"You awarded a medal to Helen",295,0,"Grupo B","Grupo B","Grupo A"
"130",327,0,405,3,7,0,0,0,1,132,1926,1460,3,"Mark dealt the cards to you",466,1,"Grupo B","Grupo B","Grupo A"
"131",331,0,405,3,11,1,1,0,1,230,2714,1635,35,"You gave Jesse another chance",1079,1,"Grupo B","Grupo B","Grupo A"
"132",334,0,405,3,14,0,1,0,1,62,1895,1321,24,"You drove the car to Amber",574,0,"Grupo B","Grupo B","Grupo A"
"133",336,0,405,3,16,1,1,0,1,224,1888,1639,33,"You dedicated the song to John",249,1,"Grupo B","Grupo B","Grupo A"
"134",339,0,405,3,19,1,1,0,1,278,1987,1647,32,"You devoted your time to Tiana",340,1,"Grupo B","Grupo B","Grupo A"
"135",344,0,405,3,24,0,0,0,1,199,1884,1684,2,"Vincent donated money to you",200,1,"Grupo B","Grupo B","Grupo A"
"136",347,0,405,3,27,0,0,0,1,185,1909,1473,10,"Your dad poured you some water",436,1,"Grupo B","Grupo B","Grupo A"
"137",348,0,405,3,28,0,1,0,1,224,2337,1511,28,"You handed Courtney the notebook",826,0,"Grupo B","Grupo B","Grupo A"
