"ID","CueDirection","SentenceDirection","liftOffDiff","Grupo","SentDur"
419,1,1,264,Grupo A,1310
419,0,1,539,Grupo A,1567
420,0,0,293,Grupo A,1684
420,1,1,336,Grupo A,1837
420,0,0,563,Grupo A,1347
420,0,0,623,Grupo A,1473
420,0,1,352,Grupo A,1439
420,1,1,387,Grupo A,1507
420,1,0,340,Grupo A,1277
420,1,1,526,Grupo A,1390
420,1,1,536,Grupo A,1579
420,0,1,481,Grupo A,1744
420,1,0,334,Grupo A,2138
420,1,0,475,Grupo A,1304
420,1,1,293,Grupo A,1126
420,1,0,330,Grupo A,1501
420,1,1,440,Grupo A,1647
420,1,0,265,Grupo A,1874
420,1,0,376,Grupo A,2184
420,1,0,-146,Grupo A,1647
420,1,0,666,Grupo A,1002
420,1,0,304,Grupo A,1724
420,0,0,654,Grupo A,1523
420,0,1,258,Grupo A,1321
420,0,1,308,Grupo A,1746
420,1,0,434,Grupo A,1371
420,0,1,635,Grupo A,1511
420,1,1,-30,Grupo A,1796
420,0,0,329,Grupo A,1579
420,0,0,325,Grupo A,1233
420,0,0,145,Grupo A,1646
420,0,1,160,Grupo A,1681
421,0,0,541,Grupo A,1233
421,1,1,384,Grupo A,1579
421,1,0,178,Grupo A,1501
421,0,0,554,Grupo A,1523
421,0,1,393,Grupo A,1483
421,1,1,663,Grupo A,1507
421,0,0,479,Grupo A,1347
421,0,1,474,Grupo A,1744
421,1,0,850,Grupo A,1371
421,0,0,1095,Grupo A,1579
421,0,1,364,Grupo A,1439
421,0,0,321,Grupo A,1684
421,1,1,282,Grupo A,1639
421,0,1,1876,Grupo A,1321
421,1,0,848,Grupo A,1002
421,1,0,410,Grupo A,1724
421,1,1,494,Grupo A,1647
421,0,0,236,Grupo A,1693
421,0,1,269,Grupo A,1485
421,1,1,591,Grupo A,1307
421,1,1,238,Grupo A,1126
421,1,0,684,Grupo A,1304
421,1,0,284,Grupo A,2184
421,1,0,132,Grupo A,2138
421,1,0,204,Grupo A,1874
421,1,0,292,Grupo A,1277
421,0,0,576,Grupo A,1473
421,0,1,378,Grupo A,1681
421,1,0,407,Grupo A,1647
421,0,1,218,Grupo A,1511
421,0,0,498,Grupo A,1646
421,1,1,406,Grupo A,1635
421,0,0,1088,Grupo A,1460
422,0,0,1257,Grupo A,1733
422,0,0,463,Grupo A,1508
422,0,1,629,Grupo A,1270
422,0,1,183,Grupo A,1310
422,0,1,214,Grupo A,1724
422,1,1,1090,Grupo A,1186
422,1,1,905,Grupo A,1364
422,1,1,1717,Grupo A,1422
422,0,1,150,Grupo A,2065
422,0,0,546,Grupo A,1369
422,1,1,351,Grupo A,1634
422,1,0,753,Grupo A,1322
422,0,1,185,Grupo A,2034
422,1,0,545,Grupo A,1503
422,0,0,375,Grupo A,1746
422,1,0,465,Grupo A,1559
422,1,0,362,Grupo A,1704
422,1,0,577,Grupo A,1396
422,0,1,587,Grupo A,1407
422,0,0,-216,Grupo A,1698
422,1,1,532,Grupo A,1620
422,1,1,2946,Grupo A,1427
422,1,1,308,Grupo A,1637
422,0,1,1117,Grupo A,1856
422,0,0,252,Grupo A,1022
422,0,0,622,Grupo A,1472
422,1,1,306,Grupo A,1567
422,1,0,816,Grupo A,1875
422,1,0,291,Grupo A,1534
422,0,1,251,Grupo A,1371
422,1,0,586,Grupo A,1433
422,0,0,243,Grupo A,1696
423,1,0,2181,Grupo B,1473
423,1,0,1863,Grupo B,1693
423,0,0,2406,Grupo B,1501
423,0,1,2225,Grupo B,1507
423,0,0,1394,Grupo B,1277
423,1,1,2302,Grupo B,1511
423,0,1,1141,Grupo B,1639
423,0,1,955,Grupo B,1390
423,1,1,513,Grupo B,1681
423,0,0,1530,Grupo B,1304
423,0,0,2084,Grupo B,1874
423,1,1,1696,Grupo B,2109
423,1,0,649,Grupo B,1684
423,0,1,496,Grupo B,1579
423,0,0,1194,Grupo B,1002
423,1,0,1457,Grupo B,1579
423,1,0,558,Grupo B,1523
423,0,0,863,Grupo B,2138
423,0,0,1418,Grupo B,1371
423,1,1,1555,Grupo B,1321
423,1,1,2415,Grupo B,1483
423,0,1,844,Grupo B,1635
423,1,1,601,Grupo B,1485
423,0,0,738,Grupo B,1724
423,0,1,2094,Grupo B,1837
423,1,0,600,Grupo B,1233
423,0,0,953,Grupo B,1647
423,1,1,1008,Grupo B,1439
423,0,1,675,Grupo B,1647
423,1,0,1905,Grupo B,1347
423,1,0,2430,Grupo B,1623
423,0,1,1036,Grupo B,1126
424,1,1,459,Grupo B,2034
424,1,1,752,Grupo B,1182
424,1,0,701,Grupo B,1369
424,1,1,1270,Grupo B,2065
424,1,1,1522,Grupo B,1600
424,0,0,670,Grupo B,1534
424,1,0,972,Grupo B,1390
